experiment_id,executor,scheduler,job_id,workload_type,priority,waiting_time,execution_time,total_time,error,duration_s,cpu_user_delta_s,cpu_system_delta_s,ctx_voluntary_delta,ctx_involuntary_delta,memory_mb,memory_delta_mb
20260517_033151_unknown,20260517_033151,unknown,6c0c8b88,io_sleep,2,,0.2033250331878662,0.20333003997802734,,0.201,0.0,0.016,2.0,0.0,52.67,0.02
20260517_033151_unknown,20260517_033151,unknown,f6e58c2c,cpu_fibonacci,1,,0.17460298538208008,0.1746058464050293,,0.172,0.156,0.031,156.0,0.0,96.53,0.02
20260517_033151_unknown,20260517_033151,unknown,633ef83c,cpu_fibonacci,1,,0.5003440380096436,0.5003480911254883,,0.497,0.391,0.109,468.0,0.0,59.35,-37.16
20260517_033151_unknown,20260517_033151,unknown,31159de9,cpu_fibonacci,1,,0.599376916885376,0.5993809700012207,,0.597,0.5,0.125,472.0,0.0,59.43,-37.08
20260517_033151_unknown,20260517_033151,unknown,366056b2,io_sleep,3,,0.6786069869995117,0.6786110401153564,,0.676,0.578,0.141,544.0,0.0,59.43,-37.08
20260517_033151_unknown,20260517_033151,unknown,8320da19,memory_list,2,,0.7392749786376953,0.7392799854278564,,0.736,0.609,0.156,622.0,0.0,59.43,4.96
20260517_033151_unknown,20260517_033151,unknown,95152823,memory_numpy,2,,0.2086641788482666,0.20866918563842773,,0.206,0.203,0.031,147.0,0.0,59.44,0.07
20260517_033151_unknown,20260517_033151,unknown,e4121e62,mixed_cpu_io,2,,0.4607369899749756,0.46074604988098145,,0.458,0.406,0.094,365.0,0.0,58.74,-45.93
20260517_033151_unknown,20260517_033151,unknown,c956c9e1,cpu_matrix,1,,0.21525001525878906,0.2152550220489502,,0.213,0.203,0.047,-210.0,0.0,61.69,2.32
20260517_033151_unknown,20260517_033151,unknown,07a93654,mixed_cpu_io,2,,0.758124828338623,0.7581288814544678,,0.756,0.578,0.141,73.0,0.0,61.71,-34.8
20260517_033151_unknown,20260517_033151,unknown,090de924,mixed_cpu_io,2,,0.7577199935913086,0.7577259540557861,,0.755,0.484,0.141,-74.0,0.0,61.67,-34.86
20260517_033151_unknown,20260517_033151,unknown,6908e897,cpu_fibonacci,1,,0.2182779312133789,0.21828198432922363,,0.216,0.156,0.062,186.0,0.0,65.8,1.9
20260517_033151_unknown,20260517_033151,unknown,1ab9fd37,cpu_fibonacci,1,,0.2908139228820801,0.2908198833465576,,0.288,0.25,0.047,236.0,0.0,67.36,3.13
20260517_033151_unknown,20260517_033151,unknown,abaa6f0f,cpu_matrix,1,,0.34000205993652344,0.34000706672668457,,0.337,0.281,0.062,393.0,0.0,63.35,1.07
20260517_033151_unknown,20260517_033151,unknown,4903055c,cpu_matrix,1,,0.22023606300354004,0.22024011611938477,,0.218,0.188,0.031,276.0,0.0,72.89,7.53
20260517_033151_unknown,20260517_033151,unknown,8ef9e202,io_sleep,3,,0.39255189895629883,0.39255595207214355,,0.39,0.297,0.078,477.0,0.0,65.93,2.07
20260517_033151_unknown,20260517_033151,unknown,d54a1e0f,io_file,3,,0.3852729797363281,0.38527917861938477,,0.382,0.297,0.078,537.0,0.0,65.2,1.24
20260517_033151_unknown,20260517_033151,unknown,f4c69d15,io_file,3,,0.40903711318969727,0.409041166305542,,0.406,0.297,0.094,583.0,0.0,65.21,1.34
20260517_033151_unknown,20260517_033151,unknown,52b4737d,mixed_cpu_io,2,,0.4071228504180908,0.40712594985961914,,0.405,0.312,0.078,382.0,0.0,69.59,5.36
20260517_033151_unknown,20260517_033151,unknown,f49c5e79,io_sleep,3,,0.406951904296875,0.40695691108703613,,0.404,0.312,0.094,353.0,0.0,72.49,8.25
20260517_033151_unknown,20260517_033151,unknown,29ff8bdf,memory_list,2,,0.20442986488342285,0.20443487167358398,,0.201,0.188,0.016,120.0,0.0,126.73,5.31
20260517_033151_unknown,20260517_033151,unknown,02b4986a,cpu_fibonacci,1,,0.3810100555419922,0.3810129165649414,,0.379,0.344,0.047,239.0,0.0,126.73,5.88
20260517_033151_unknown,20260517_033151,unknown,34b188ca,io_sleep,3,,0.3977649211883545,0.3977680206298828,,0.395,0.344,0.047,340.0,0.0,127.54,6.68
20260517_033151_unknown,20260517_033151,unknown,5ab1e6b2,memory_list,2,,0.055722951889038086,0.05572700500488281,,0.053,0.031,0.031,-93.0,0.0,130.75,2.84
20260517_033151_unknown,20260517_033151,unknown,903609a9,io_file,3,,0.5144071578979492,0.5144109725952148,,0.511,0.422,0.109,441.0,0.0,134.13,13.55
20260517_033151_unknown,20260517_033151,unknown,80d60cab,io_file,3,,0.13355183601379395,0.13355588912963867,,0.131,0.094,0.062,4.0,0.0,134.36,7.11
20260517_033151_unknown,20260517_033151,unknown,e2e9d158,io_sleep,3,,0.19168519973754883,0.19168901443481445,,0.19,0.141,0.062,-17.0,0.0,141.12,14.36
20260517_033151_unknown,20260517_033151,unknown,1fa5bdc5,io_sleep,3,,0.33463001251220703,0.33463311195373535,,0.333,0.266,0.078,-53.0,0.0,168.86,41.88
20260517_033151_unknown,20260517_033151,unknown,11bb145a,ml_predict,2,,1.7209160327911377,1.720919132232666,,1.718,1.469,0.328,843.0,0.0,171.34,107.12
20260517_033151_unknown,20260517_033151,unknown,89c6c276,ml_predict,2,,0.6737220287322998,0.6737258434295654,,0.671,0.609,0.109,246.0,0.0,169.61,48.35
20260517_033151_unknown,20260517_033151,unknown,56563f4f,ml_predict,2,,0.3476119041442871,0.34761595726013184,,0.345,0.312,0.078,-70.0,0.0,169.62,32.54
20260517_033151_unknown,20260517_033151,unknown,c52764fb,cpu_fibonacci,1,,0.2974088191986084,0.2974128723144531,,0.295,0.297,0.031,292.0,0.0,172.12,1.9
20260517_033151_unknown,20260517_033151,unknown,3e107649,memory_numpy,2,,0.35373497009277344,0.35373902320861816,,0.351,0.359,0.031,331.0,0.0,173.26,2.86
20260517_033151_unknown,20260517_033151,unknown,7512b9fe,cpu_fibonacci,1,,0.3149709701538086,0.3149750232696533,,0.312,0.312,0.0,247.0,0.0,173.27,1.61
20260517_033151_unknown,20260517_033151,unknown,e904a89d,cpu_fibonacci,1,,0.5255019664764404,0.5255060195922852,,0.523,0.531,0.031,489.0,0.0,173.73,3.59
20260517_033151_unknown,20260517_033151,unknown,d60a0132,cpu_fibonacci,1,,0.5097129344940186,0.5097169876098633,,0.507,0.516,0.031,460.0,0.0,173.73,3.33
20260517_033151_unknown,20260517_033151,unknown,beaabfb0,cpu_matrix,1,,0.48616981506347656,0.4861738681793213,,0.484,0.5,0.016,446.0,0.0,195.34,24.92
20260517_033151_unknown,20260517_033151,unknown,3bae1c28,cpu_matrix,1,,0.4595820903778076,0.45958590507507324,,0.457,0.531,0.062,262.0,0.0,182.74,-77.44
20260517_033151_unknown,20260517_033151,unknown,649334db,cpu_matrix,1,,0.4060981273651123,0.40610194206237793,,0.403,0.469,0.062,243.0,0.0,174.51,-85.7
20260517_033151_unknown,20260517_033151,unknown,85a4a183,cpu_matrix,1,,0.2100381851196289,0.21004319190979004,,0.207,0.266,0.062,14.0,0.0,170.96,-2.29
20260517_033151_unknown,20260517_033151,unknown,d79b9893,io_file,3,,0.5218918323516846,0.5218968391418457,,0.519,0.547,0.062,53.0,0.0,170.48,-89.48
20260517_033151_unknown,20260517_033151,unknown,2e782c1a,memory_numpy,2,,0.3121771812438965,0.3121809959411621,,0.309,0.266,0.078,227.0,0.0,174.96,4.17
20260517_033151_unknown,20260517_033151,unknown,66d281b1,io_sleep,3,,0.5285589694976807,0.5285630226135254,,0.526,0.312,0.109,346.0,0.0,174.96,4.49
20260517_033151_unknown,20260517_033151,unknown,0d784d7c,cpu_fibonacci,1,,0.11637616157531738,0.11637997627258301,,0.114,0.078,0.031,104.0,0.0,174.96,0.68
20260517_033151_unknown,20260517_033151,unknown,2df86f7b,cpu_fibonacci,1,,0.47380900382995605,0.4738121032714844,,0.472,0.406,0.078,393.0,0.0,174.39,2.22
20260517_033151_unknown,20260517_033151,unknown,183c2d3e,cpu_fibonacci,1,,0.6088950634002686,0.6088979244232178,,0.606,0.516,0.109,586.0,0.0,177.05,6.34
